31658481	doc53
31407840	doc52
31962361	doc59
31559621	doc7
31340395	doc96
31378852	doc17
30743282	doc14
32059232	doc74
32018288	doc57
31789433	doc42
31918443	doc92
30943576	doc86
32092775	doc11
31441172	doc61
31434117	doc60
31583752	doc73
31370088	doc83
32214980	doc20
31291667	doc81
32018292	doc87
31237065	doc76
31329311	doc48
31957564	doc93
32050291	doc32
31394581	doc90
32214963	doc75
32052391	doc39
32059248	doc97
31842239	doc69
31791078	doc36
31639882	doc2
31791071	doc43
32077169	doc85
32219775	doc44
31957561	doc78
31752037	doc88
32016926	doc27
32059249	doc66
32050283	doc67
31416098	doc5
31749195	doc22
32052386	doc9
31791067	doc30
31583748	doc24
32023648	doc94
31816646	doc84
32040965	doc29
31739353	doc95
32047719	doc89
31671460	doc71
30736079	doc70
31968371	doc37
31931540	doc13
31994162	doc40
31820426	doc80
31594016	doc62
31594011	doc46
31594010	doc41
31362319	doc3
31350743	doc58
31350739	doc35
31016735	doc25
32131125	doc38
32114946	doc6
31658475	doc100
31747703	doc21
32215881	doc23
31323703	doc50
31853909	doc33
32045955	doc31
31212349	doc56
31318444	doc4
31218782	doc26
32069507	doc28
31830770	doc19
32143230	doc18
31319426	doc34
31825131	doc64
32109968	doc65
31805579	doc1
32079025	doc68
31090956	doc49
32198734	doc91
32198738	doc72
32028538	doc98
31067574	doc51
32193880	doc47
32193882	doc12
30947350	doc55
31537021	doc10
30919471	doc82
32131086	doc45
30690689	doc99
31826280	doc16
31137045	doc77
31137046	doc15
31350747	doc54
31847034	doc79
30995688	doc63
31441182	doc8
